latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
30.40042,50.61528,309.91,1.55,1.23,2025-08-01,5,Aqua,MODIS,77,6.1NRT,296.99,12.66,N
30.39752,50.63049,309.95,1.56,1.23,2025-08-01,5,Aqua,MODIS,76,6.1NRT,295.79,13.1,N
30.87182,47.92795,350.9,1.1,1.05,2025-08-01,5,Aqua,MODIS,100,6.1NRT,303.01,70.42,N
30.86271,47.92592,344.85,1.1,1.05,2025-08-01,5,Aqua,MODIS,100,6.1NRT,300.86,56.14,N
30.75762,48.28267,354.73,1.14,1.07,2025-08-01,5,Aqua,MODIS,100,6.1NRT,303.23,84.42,N
30.75566,48.29419,321.62,1.15,1.07,2025-08-01,5,Aqua,MODIS,100,6.1NRT,301.62,18.93,N
30.88815,47.32806,318.54,1.05,1.03,2025-08-01,5,Aqua,MODIS,97,6.1NRT,299.09,15.62,N
30.88642,47.3387,337.12,1.06,1.03,2025-08-01,5,Aqua,MODIS,100,6.1NRT,301.58,40.3,N
30.83109,47.33215,323.23,1.06,1.03,2025-08-01,5,Aqua,MODIS,100,6.1NRT,301.18,21.18,N
30.39597,49.86818,322.82,1.4,1.17,2025-08-01,5,Aqua,MODIS,100,6.1NRT,302.69,23.31,N
30.7567,47.67314,310.69,1.08,1.04,2025-08-01,5,Aqua,MODIS,76,6.1NRT,300.49,7.84,N
30.76681,47.32928,317.01,1.06,1.03,2025-08-01,5,Aqua,MODIS,93,6.1NRT,299.27,15.1,N
30.69308,47.32859,310.38,1.06,1.03,2025-08-01,5,Aqua,MODIS,75,6.1NRT,299.18,7.51,N
30.61813,47.32878,315.95,1.06,1.03,2025-08-01,5,Aqua,MODIS,91,6.1NRT,300.75,12.34,N
30.61639,47.33945,311.31,1.06,1.03,2025-08-01,5,Aqua,MODIS,78,6.1NRT,300.85,8.34,N
30.57475,47.31268,312.13,1.06,1.03,2025-08-01,5,Aqua,MODIS,69,6.1NRT,301.92,8.06,N
30.57302,47.32334,312.49,1.06,1.03,2025-08-01,5,Aqua,MODIS,76,6.1NRT,302.22,8.37,N
30.52564,47.61448,312.09,1.09,1.04,2025-08-01,5,Aqua,MODIS,79,6.1NRT,299.69,10.14,N
30.55888,47.35343,321.51,1.06,1.03,2025-08-01,5,Aqua,MODIS,100,6.1NRT,301.1,16.86,N
30.57156,47.10376,328.36,1.05,1.02,2025-08-01,5,Aqua,MODIS,100,6.1NRT,300.46,25.71,N
30.56986,47.11428,323.19,1.05,1.02,2025-08-01,5,Aqua,MODIS,100,6.1NRT,300.77,19.41,N
30.49966,47.31852,315.31,1.06,1.03,2025-08-01,5,Aqua,MODIS,89,6.1NRT,301.96,11.06,N
30.4033,47.33632,321.65,1.07,1.03,2025-08-01,5,Aqua,MODIS,100,6.1NRT,301.12,17.34,N
30.3655,47.34361,311.92,1.07,1.03,2025-08-01,5,Aqua,MODIS,79,6.1NRT,301.59,7.87,N
30.2872,47.36531,322.27,1.07,1.03,2025-08-01,5,Aqua,MODIS,100,6.1NRT,301.75,18.43,N
30.27821,47.36337,311.09,1.07,1.03,2025-08-01,5,Aqua,MODIS,76,6.1NRT,300.34,7.52,N
30.21721,47.39466,318.15,1.07,1.03,2025-08-01,5,Aqua,MODIS,96,6.1NRT,301.53,13.85,N
30.17787,47.41276,311.76,1.08,1.04,2025-08-01,5,Aqua,MODIS,78,6.1NRT,300.55,7.99,N
30.16709,47.4216,311.83,1.08,1.04,2025-08-01,5,Aqua,MODIS,78,6.1NRT,301.19,8.17,N
32.35692,47.71695,329.21,1.05,1.02,2025-08-01,5,Aqua,MODIS,100,6.1NRT,303.46,26,N
32.35867,47.70618,332.66,1.05,1.02,2025-08-01,5,Aqua,MODIS,100,6.1NRT,303.73,30.71,N
32.3604,47.69543,319.07,1.05,1.02,2025-08-01,5,Aqua,MODIS,97,6.1NRT,302.08,14.05,N
32.16478,49.06981,319.47,1.19,1.08,2025-08-01,5,Aqua,MODIS,98,6.1NRT,299.14,17.12,N
32.49312,47.21447,313.95,1.02,1.01,2025-08-01,5,Aqua,MODIS,85,6.1NRT,302.97,8.45,N
33.22366,44.77834,318.51,1.05,1.02,2025-08-01,5,Aqua,MODIS,96,6.1NRT,302.05,14.02,N
33.22516,44.76741,336.95,1.05,1.02,2025-08-01,5,Aqua,MODIS,100,6.1NRT,301.97,37.99,N
32.23792,51.44331,315.13,1.61,1.25,2025-08-01,5,Aqua,MODIS,91,6.1NRT,292.52,25.63,N
32.24104,51.427,320.62,1.6,1.25,2025-08-01,5,Aqua,MODIS,100,6.1NRT,293.99,35.32,N
34.89735,43.81094,327.34,1.18,1.08,2025-08-01,5,Aqua,MODIS,100,6.1NRT,301.6,28.72,N
35.52993,44.35113,314.39,1.14,1.06,2025-08-01,5,Aqua,MODIS,87,6.1NRT,299.57,11.32,N
35.53151,44.33891,314.89,1.14,1.06,2025-08-01,5,Aqua,MODIS,88,6.1NRT,300.05,12.06,N
36.91441,43.39474,309.63,1.31,1.13,2025-08-01,5,Aqua,MODIS,78,6.1NRT,295.46,10.88,N
36.9161,43.38023,304.19,1.31,1.14,2025-08-01,5,Aqua,MODIS,20,6.1NRT,293.35,6.46,N
